5,135,120
5,135,140
5,135,160
5,135,100
5,75,70
5,100,130
5,80,130
5,60,130
5,40,130
5,20,130
5,210,50
5,300,80
5,320,80
5,340,80
5,360,80
5,360,60
5,360,40
5,360,20
5,340,20
5,320,20
5,300,20
5,280,20
5,260,20
5,240,20
5,240,40
5,240,60
5,240,80
5,240,100
5,240,120
5,240,140
5,240,160
5,380,135
5,360,135
5,340,135
5,320,135
5,300,135
5,280,80
5,280,100
5,280,120
5,280,140
5,280,160
5,280,180
5,280,200
5,380,180
5,380,200
5,380,220
5,360,180
5,360,200
5,360,220
5,340,180
5,340,200
5,340,220
5,320,180
5,320,200
5,320,220
5,300,220
5,280,220
5,260,220
5,240,220
5,220,220
5,200,220
5,100,220
5,120,220
5,140,220
5,160,220
5,180,220
5,180,200
5,240,180
5,220,180
5,200,180
5,40,220
5,20,220
5,20,200
5,20,180
5,40,180
5,60,180
5,80,180
5,75,70
5,100,70
5,120,70
5,55,70
5,20,70
5,20,45
5,20,20
5,40,20
5,60,20
5,80,20
5,100,20
5,120,20
5,140,20
5,160,20
5,180,20
5,180,40
5,180,60
5,180,80
5,180,100
5,180,120
5,180,140
5,180,160
5,160,180
5,180,180
5,140,180
5,100,180
5,120,180
